,Date,Open,High,Low,Close,Adj Close,Volume
0,"Apr 06, 2022",172.36,173.63,170.13,171.83,171.83,"88,950,300"
1,"Apr 05, 2022",177.50,178.30,174.42,175.06,175.06,"73,401,800"
2,"Apr 04, 2022",174.57,178.49,174.44,178.44,178.44,"76,468,400"
3,"Apr 01, 2022",174.03,174.88,171.94,174.31,174.31,"78,699,800"
4,"Mar 31, 2022",177.84,178.03,174.40,174.61,174.61,"103,049,300"
5,"Mar 30, 2022",178.55,179.61,176.70,177.77,177.77,"92,633,200"
6,"Mar 29, 2022",176.69,179.01,176.34,178.96,178.96,"100,589,400"
7,"Mar 28, 2022",172.17,175.73,172.00,175.60,175.60,"90,371,900"
8,"Mar 25, 2022",173.88,175.28,172.75,174.72,174.72,"80,546,200"
9,"Mar 24, 2022",171.06,174.14,170.21,174.07,174.07,"90,131,400"
10,"Mar 23, 2022",167.99,172.64,167.65,170.21,170.21,"98,062,700"
11,"Mar 22, 2022",165.51,169.42,164.91,168.82,168.82,"81,532,000"
12,"Mar 21, 2022",163.51,166.35,163.01,165.38,165.38,"95,811,400"
13,"Mar 18, 2022",160.51,164.48,159.76,163.98,163.98,"123,351,200"
14,"Mar 17, 2022",158.61,161.00,157.63,160.62,160.62,"75,615,400"
15,"Mar 16, 2022",157.05,160.00,154.46,159.59,159.59,"102,300,200"
16,"Mar 15, 2022",150.90,155.57,150.38,155.09,155.09,"92,964,300"
17,"Mar 14, 2022",151.45,154.12,150.10,150.62,150.62,"108,732,100"
18,"Mar 11, 2022",158.93,159.28,154.50,154.73,154.73,"96,836,300"
19,"Mar 10, 2022",160.20,160.39,155.98,158.52,158.52,"105,342,000"
20,"Mar 09, 2022",161.48,163.41,159.41,162.95,162.95,"91,454,900"
21,"Mar 08, 2022",158.82,162.88,155.80,157.44,157.44,"131,148,300"
22,"Mar 07, 2022",163.36,165.02,159.04,159.30,159.30,"96,418,800"
23,"Mar 04, 2022",164.49,165.55,162.10,163.17,163.17,"83,737,200"
24,"Mar 03, 2022",168.47,168.91,165.55,166.23,166.23,"76,678,400"
25,"Mar 02, 2022",164.39,167.36,162.95,166.56,166.56,"79,724,800"
26,"Mar 01, 2022",164.70,166.60,161.97,163.20,163.20,"83,474,400"
27,"Feb 28, 2022",163.06,165.42,162.43,165.12,165.12,"94,869,100"
