,Date,Open,High,Low,Close,Adj Close,Volume
0,"Apr 06, 2022",104.45,105.74,101.71,103.67,103.67,"105,172,600"
1,"Apr 05, 2022",109.69,110.48,106.05,106.82,106.82,"79,532,000"
2,"Apr 04, 2022",109.97,110.94,107.03,110.53,110.53,"90,123,900"
3,"Apr 01, 2022",110.48,111.42,106.10,108.19,108.19,"111,814,400"
4,"Mar 31, 2022",116.31,116.38,109.02,109.34,109.34,"147,004,800"
5,"Mar 30, 2022",123.04,125.67,118.59,119.22,119.22,"99,476,900"
6,"Mar 29, 2022",122.28,123.71,119.59,123.23,123.23,"94,143,000"
7,"Mar 28, 2022",117.70,120.41,116.71,120.24,120.24,"92,966,100"
8,"Mar 25, 2022",119.92,121.40,117.25,119.67,119.67,"95,852,400"
9,"Mar 24, 2022",114.96,120.55,113.71,120.53,120.53,"121,961,300"
10,"Mar 23, 2022",114.29,117.55,112.21,113.92,113.92,"90,579,200"
11,"Mar 22, 2022",115.43,117.95,113.81,114.78,114.78,"101,672,600"
12,"Mar 21, 2022",113.73,117.57,112.54,115.92,115.92,"101,905,900"
13,"Mar 18, 2022",111.28,114.93,110.55,113.46,113.46,"105,748,100"
14,"Mar 17, 2022",112.14,114.27,109.71,111.69,111.69,"103,201,700"
15,"Mar 16, 2022",111.60,115.42,109.89,115.37,115.37,"113,689,800"
16,"Mar 15, 2022",102.66,109.69,101.79,109.33,109.33,"112,425,500"
17,"Mar 14, 2022",102.99,105.24,101.04,102.25,102.25,"89,731,700"
18,"Mar 11, 2022",108.13,108.19,104.08,104.29,104.29,"87,529,900"
19,"Mar 10, 2022",108.89,109.07,103.07,106.46,106.46,"102,557,400"
20,"Mar 09, 2022",108.41,111.71,106.85,111.05,111.05,"102,310,300"
21,"Mar 08, 2022",102.81,109.90,100.08,105.53,105.53,"135,348,300"
22,"Mar 07, 2022",108.53,109.53,102.82,102.95,102.95,"92,600,000"
23,"Mar 04, 2022",112.00,113.00,106.81,108.41,108.41,"100,609,400"
24,"Mar 03, 2022",118.13,118.26,111.05,111.98,111.98,"123,916,700"
25,"Mar 02, 2022",115.47,119.48,113.31,118.28,118.28,"118,354,500"
26,"Mar 01, 2022",122.33,122.43,112.80,113.83,113.83,"126,552,200"
27,"Feb 28, 2022",120.31,124.61,119.20,123.34,123.34,"124,516,700"
28,"Feb 25, 2022",117.16,121.23,116.04,121.06,121.06,"127,821,000"
