,Date,Open,High,Low,Close,Adj Close,Volume
0,"Apr 06, 2022",48.24,48.44,46.75,47.12,47.12,"6,813,900"
1,"Apr 05, 2022",48.86,49.59,48.66,48.66,48.66,"3,335,000"
2,"Apr 04, 2022",48.94,49.84,48.75,49.38,49.38,"3,326,400"
3,"Apr 01, 2022",48.57,49.00,47.61,48.80,48.80,"8,083,400"
4,"Mar 31, 2022",51.30,51.67,50.17,50.19,50.19,"6,459,300"
5,"Mar 30, 2022",54.70,55.25,54.18,54.32,54.32,"2,829,000"
6,"Mar 29, 2022",54.79,55.30,54.31,55.03,55.03,"3,417,800"
7,"Mar 28, 2022",54.25,54.58,53.72,54.30,54.30,"2,892,100"
8,"Mar 25, 2022",53.50,54.88,53.36,54.79,54.79,"3,715,400"
9,"Mar 24, 2022",52.63,53.85,52.43,53.51,53.51,"2,806,000"
10,"Mar 23, 2022",52.57,53.39,52.50,52.60,52.60,"2,895,900"
11,"Mar 22, 2022",52.44,53.33,52.30,52.99,52.99,"2,764,900"
12,"Mar 21, 2022",51.75,52.97,51.68,52.32,52.32,"3,853,500"
13,"Mar 18, 2022",50.41,51.89,50.03,51.83,51.83,"4,907,200"
14,"Mar 17, 2022",51.43,51.46,49.52,50.51,50.51,"5,634,300"
15,"Mar 16, 2022",51.52,52.43,50.62,51.97,51.97,"5,130,700"
16,"Mar 15, 2022",50.74,52.20,50.56,52.08,52.08,"2,477,400"
17,"Mar 14, 2022",51.86,52.56,50.38,50.74,50.74,"3,406,400"
18,"Mar 11, 2022",52.00,52.73,51.54,52.01,52.01,"2,977,400"
19,"Mar 10, 2022",51.31,52.20,51.03,51.97,51.97,"3,590,400"
20,"Mar 09, 2022",51.45,52.56,51.13,51.98,51.98,"4,199,800"
21,"Mar 08, 2022",49.75,51.52,49.05,50.24,50.24,"5,920,600"
22,"Mar 07, 2022",51.42,51.74,48.98,49.33,49.33,"4,649,800"
23,"Mar 04, 2022",52.08,52.49,51.40,51.96,51.96,"2,984,600"
24,"Mar 03, 2022",53.38,53.95,52.47,52.59,52.59,"4,004,200"
25,"Mar 02, 2022",50.47,53.85,50.27,53.60,53.60,"6,072,200"
26,"Mar 01, 2022",50.02,50.54,49.60,49.88,49.88,"5,359,800"
27,"Feb 28, 2022",50.81,52.01,50.31,50.96,50.96,"6,844,300"
28,"Feb 25, 2022",50.75,53.05,49.16,51.46,51.46,"14,711,100"
29,"Feb 24, 2022",55.09,55.96,54.37,55.84,55.84,"6,516,000"
30,"Feb 23, 2022",57.69,58.38,56.55,56.78,56.78,"3,477,400"
31,"Feb 22, 2022",58.35,59.03,56.91,57.13,57.13,"3,316,400"
32,"Feb 18, 2022",59.25,59.91,58.76,58.90,58.90,"3,198,000"
33,"Feb 17, 2022",60.22,60.37,59.24,59.26,59.26,"2,716,100"
34,"Feb 16, 2022",59.36,60.54,59.33,60.29,60.29,"3,001,700"
35,"Feb 15, 2022",58.90,60.43,58.86,59.82,59.82,"3,400,900"
36,"Feb 14, 2022",59.20,59.65,58.23,58.60,58.60,"2,902,500"
37,"Feb 11, 2022",60.75,61.30,59.35,59.51,59.51,"2,449,800"
