,Date,Open,High,Low,Close,Adj Close,Volume
0,"Apr 06, 2022",226.91,228.99,221.41,223.30,223.30,"28,969,100"
1,"Apr 05, 2022",234.08,236.86,231.02,231.84,231.84,"29,727,200"
2,"Apr 04, 2022",225.98,234.35,225.86,233.89,233.89,"28,054,800"
3,"Apr 01, 2022",224.55,227.28,222.70,224.85,224.85,"19,533,300"
4,"Mar 31, 2022",228.45,228.49,222.26,222.36,222.36,"24,192,300"
5,"Mar 30, 2022",228.91,231.15,226.71,227.85,227.85,"25,588,000"
6,"Mar 29, 2022",226.07,230.89,225.29,229.86,229.86,"31,417,900"
7,"Mar 28, 2022",222.13,224.04,219.54,223.59,223.59,"26,224,100"
8,"Mar 25, 2022",220.51,225.50,218.89,221.82,221.82,"40,039,000"
9,"Mar 24, 2022",215.00,220.67,214.79,219.57,219.57,"31,502,300"
10,"Mar 23, 2022",213.33,216.80,212.16,213.46,213.46,"23,717,300"
11,"Mar 22, 2022",211.37,219.46,210.18,216.65,216.65,"31,998,800"
12,"Mar 21, 2022",214.50,214.71,207.63,211.49,211.49,"30,142,300"
13,"Mar 18, 2022",206.70,216.80,206.00,216.49,216.49,"52,128,000"
14,"Mar 17, 2022",201.70,208.04,201.11,207.84,207.84,"29,499,700"
15,"Mar 16, 2022",194.70,203.73,194.52,203.63,203.63,"40,640,300"
16,"Mar 15, 2022",190.80,192.28,185.91,192.03,192.03,"31,721,700"
17,"Mar 14, 2022",187.03,192.29,185.82,186.63,186.63,"31,010,500"
18,"Mar 11, 2022",192.64,193.56,186.67,187.61,187.61,"34,694,500"
19,"Mar 10, 2022",194.84,196.28,191.07,195.21,195.21,"24,853,000"
20,"Mar 09, 2022",195.74,199.10,193.92,198.50,198.50,"31,894,700"
21,"Mar 08, 2022",187.85,196.70,186.11,190.29,190.29,"37,508,100"
22,"Mar 07, 2022",200.79,200.89,187.28,187.47,187.47,"38,560,600"
23,"Mar 04, 2022",202.37,205.89,198.79,200.06,200.06,"32,130,900"
24,"Mar 03, 2022",209.02,209.08,201.42,202.97,202.97,"27,263,500"
25,"Mar 02, 2022",204.78,209.15,202.02,208.11,208.11,"29,452,100"
26,"Mar 01, 2022",209.87,211.75,202.22,203.49,203.49,"27,094,900"
27,"Feb 28, 2022",207.68,213.15,206.83,211.03,211.03,"34,239,800"
28,"Feb 25, 2022",204.94,211.32,203.18,210.48,210.48,"37,627,600"
29,"Feb 24, 2022",191.06,208.35,190.22,207.60,207.60,"49,957,200"
30,"Feb 23, 2022",204.16,206.94,198.05,198.45,198.45,"44,481,400"
31,"Feb 22, 2022",202.34,207.48,200.06,202.08,202.08,"39,852,400"
32,"Feb 18, 2022",209.39,210.75,205.18,206.16,206.16,"37,128,400"
33,"Feb 17, 2022",214.02,217.50,207.16,207.71,207.71,"38,747,500"
34,"Feb 16, 2022",212.41,217.46,212.36,216.54,216.54,"45,817,500"
35,"Feb 15, 2022",220.47,221.15,215.06,221.00,221.00,"42,685,500"
36,"Feb 14, 2022",219.31,221.00,214.78,217.70,217.70,"38,184,000"
