,Date,Open,High,Low,Close,Adj Close,Volume
0,"Apr 06, 2022",63.10,63.46,62.57,62.89,62.89,"1,905,500"
1,"Apr 05, 2022",66.79,67.04,64.68,64.75,64.75,"2,401,400"
2,"Apr 04, 2022",68.99,70.68,67.51,67.67,67.67,"4,000,200"
3,"Apr 01, 2022",62.95,63.26,62.21,62.92,62.92,"1,986,700"
4,"Mar 31, 2022",61.45,61.84,61.02,61.33,61.33,"1,947,900"
5,"Mar 30, 2022",61.50,62.04,61.18,61.23,61.23,"1,616,900"
6,"Mar 29, 2022",61.31,62.28,60.87,61.82,61.82,"2,398,200"
7,"Mar 28, 2022",59.87,60.58,59.62,60.27,60.27,"1,323,800"
8,"Mar 25, 2022",60.57,60.91,60.05,60.28,60.28,"1,281,800"
9,"Mar 24, 2022",60.51,60.82,59.97,60.80,60.80,"1,364,000"
10,"Mar 23, 2022",61.30,61.67,60.39,60.39,60.39,"1,640,600"
11,"Mar 22, 2022",62.90,63.56,62.39,62.46,62.46,"2,526,400"
12,"Mar 21, 2022",62.66,63.17,61.33,61.85,61.85,"2,642,600"
13,"Mar 18, 2022",61.17,62.97,61.03,62.88,62.88,"1,843,300"
14,"Mar 17, 2022",61.32,62.06,60.44,61.87,61.87,"1,406,000"
15,"Mar 16, 2022",60.73,61.82,60.53,61.64,61.64,"1,439,400"
16,"Mar 15, 2022",59.14,60.29,58.64,60.11,60.11,"2,739,100"
17,"Mar 14, 2022",58.91,60.46,58.28,59.16,59.16,"2,002,700"
18,"Mar 11, 2022",58.68,59.49,56.79,56.87,56.87,"2,528,300"
19,"Mar 10, 2022",57.87,58.30,57.24,57.33,57.33,"2,795,500"
20,"Mar 09, 2022",57.66,59.69,57.66,59.10,59.10,"2,926,700"
21,"Mar 08, 2022",55.17,56.05,54.25,55.25,55.25,"2,954,800"
22,"Mar 07, 2022",55.67,56.09,54.43,54.48,54.48,"4,309,100"
23,"Mar 04, 2022",58.72,58.83,57.05,57.24,57.24,"5,057,100"
24,"Mar 03, 2022",61.40,61.81,59.18,59.51,59.51,"1,432,600"
25,"Mar 02, 2022",60.06,61.40,58.89,61.23,61.23,"3,378,300"
26,"Mar 01, 2022",61.99,62.46,60.00,60.37,60.37,"3,645,900"
27,"Feb 28, 2022",64.43,64.81,61.86,62.17,62.17,"3,980,000"
28,"Feb 25, 2022",65.34,66.84,65.20,66.52,66.52,"983,000"
29,"Feb 24, 2022",62.03,65.04,62.02,64.77,64.77,"2,131,300"
30,"Feb 23, 2022",67.11,67.36,65.79,66.02,66.02,"818,200"
31,"Feb 22, 2022",66.50,68.20,66.39,67.27,67.27,"1,430,100"
32,"Feb 18, 2022",66.71,67.19,66.08,66.95,66.95,"1,255,900"
33,"Feb 17, 2022",66.80,67.24,65.60,65.96,65.96,"1,444,900"
34,"Feb 16, 2022",67.67,67.99,67.03,67.52,67.52,"959,600"
35,"Feb 15, 2022",68.47,69.12,68.09,68.33,68.33,"1,027,500"
