,Date,Open,High,Low,Close,Adj Close,Volume
0,"Apr 06, 2022",15.70,15.74,15.47,15.57,15.57,"9,878,100"
1,"Apr 05, 2022",16.17,16.33,15.74,15.80,15.80,"8,198,500"
2,"Apr 04, 2022",16.26,16.38,15.98,16.32,16.32,"10,025,400"
3,"Apr 01, 2022",16.88,16.88,16.06,16.29,16.29,"8,138,500"
4,"Mar 31, 2022",17.05,17.16,16.69,16.71,16.71,"10,402,900"
5,"Mar 30, 2022",17.50,17.61,17.20,17.28,17.28,"4,783,700"
6,"Mar 29, 2022",17.58,17.66,17.38,17.56,17.56,"6,015,400"
7,"Mar 28, 2022",17.40,17.45,17.09,17.38,17.38,"6,572,600"
8,"Mar 25, 2022",17.15,17.57,17.11,17.54,17.54,"11,028,500"
9,"Mar 24, 2022",17.06,17.15,16.93,17.05,17.05,"13,534,300"
10,"Mar 23, 2022",17.05,17.20,16.96,16.97,16.97,"7,361,400"
11,"Mar 22, 2022",17.20,17.30,16.99,17.13,17.13,"12,037,600"
12,"Mar 21, 2022",17.12,17.33,16.85,17.05,17.05,"9,128,400"
13,"Mar 18, 2022",16.60,17.10,16.44,17.04,17.04,"25,124,800"
14,"Mar 17, 2022",16.50,16.80,16.27,16.72,16.72,"10,839,600"
15,"Mar 16, 2022",16.67,16.85,16.48,16.76,16.76,"11,061,500"
16,"Mar 15, 2022",16.32,16.66,16.20,16.53,16.53,"14,246,300"
17,"Mar 14, 2022",16.63,16.80,16.17,16.32,16.32,"10,739,100"
18,"Mar 11, 2022",16.50,16.69,16.39,16.55,16.55,"11,139,400"
19,"Mar 10, 2022",16.07,16.38,15.98,16.36,16.36,"10,586,400"
20,"Mar 10, 2022",Dividend,,,,,
21,"Mar 09, 2022",16.44,16.58,16.30,16.37,16.25,"12,569,700"
22,"Mar 08, 2022",16.09,16.58,16.07,16.09,15.97,"12,353,300"
23,"Mar 07, 2022",16.40,16.43,15.73,15.77,15.65,"9,691,700"
24,"Mar 04, 2022",16.35,16.45,16.10,16.42,16.30,"10,468,300"
25,"Mar 03, 2022",17.01,17.02,16.59,16.75,16.63,"16,233,100"
26,"Mar 02, 2022",16.22,17.18,16.15,16.99,16.87,"20,561,000"
27,"Mar 01, 2022",15.94,16.05,15.27,15.41,15.30,"14,194,400"
28,"Feb 28, 2022",15.75,15.98,15.58,15.92,15.80,"18,104,500"
29,"Feb 25, 2022",16.02,16.16,15.46,16.02,15.90,"18,758,600"
30,"Feb 24, 2022",16.14,16.29,15.75,16.25,16.13,"11,558,400"
31,"Feb 23, 2022",17.07,17.11,16.54,16.62,16.50,"7,846,200"
32,"Feb 22, 2022",17.18,17.42,16.76,16.94,16.82,"11,734,200"
33,"Feb 18, 2022",17.24,17.51,17.16,17.33,17.20,"9,652,000"
34,"Feb 17, 2022",17.44,17.54,17.19,17.24,17.11,"8,985,800"
35,"Feb 16, 2022",17.29,17.72,17.27,17.64,17.51,"8,063,400"
36,"Feb 15, 2022",17.01,17.47,16.96,17.38,17.25,"7,447,100"
37,"Feb 14, 2022",17.27,17.30,16.72,16.87,16.75,"9,019,400"
38,"Feb 11, 2022",17.35,17.58,17.08,17.20,17.07,"8,804,600"
39,"Feb 10, 2022",17.20,17.76,17.16,17.35,17.22,"9,406,300"
40,"Feb 09, 2022",17.19,17.32,17.10,17.30,17.17,"8,012,200"
41,"Feb 08, 2022",17.10,17.15,16.92,17.10,16.97,"6,457,600"
42,"Feb 07, 2022",17.00,17.05,16.79,16.93,16.81,"6,955,400"
43,"Feb 04, 2022",16.81,17.01,16.63,16.84,16.72,"6,702,500"
44,"Feb 03, 2022",16.96,17.15,16.83,16.85,16.73,"7,035,100"
45,"Feb 02, 2022",16.74,17.08,16.70,17.03,16.91,"8,890,000"
46,"Feb 01, 2022",16.36,16.86,16.29,16.81,16.69,"10,422,500"
47,"Jan 31, 2022",16.09,16.39,15.88,16.33,16.21,"16,818,400"
48,"Jan 28, 2022",15.72,16.14,15.68,16.13,16.01,"11,142,100"
49,"Jan 27, 2022",16.01,16.32,15.62,15.81,15.69,"12,857,800"
50,"Jan 26, 2022",16.07,16.15,15.62,15.84,15.72,"10,817,100"
51,"Jan 25, 2022",15.92,15.99,15.40,15.89,15.77,"11,657,100"
52,"Jan 24, 2022",15.85,16.13,15.45,16.10,15.98,"11,759,700"
53,"Jan 21, 2022",16.68,16.69,16.11,16.14,16.02,"10,121,400"
54,"Jan 20, 2022",16.84,17.03,16.51,16.67,16.55,"18,906,200"
55,"Jan 19, 2022",17.30,17.38,16.72,16.74,16.62,"11,762,000"
56,"Jan 18, 2022",17.51,17.60,17.19,17.32,17.19,"10,282,200"
57,"Jan 14, 2022",17.37,17.60,17.17,17.56,17.43,"8,547,000"
58,"Jan 13, 2022",17.25,17.59,17.07,17.49,17.36,"9,726,800"
59,"Jan 12, 2022",17.14,17.31,16.96,17.15,17.02,"7,975,700"
60,"Jan 11, 2022",17.12,17.12,16.79,17.04,16.92,"16,455,800"
61,"Jan 10, 2022",17.20,17.33,16.74,17.00,16.88,"15,250,000"
62,"Jan 07, 2022",16.98,17.24,16.98,17.13,17.00,"10,482,700"
63,"Jan 06, 2022",17.10,17.15,16.77,16.97,16.85,"8,571,700"
64,"Jan 05, 2022",16.85,17.35,16.84,16.89,16.77,"10,922,700"
65,"Jan 04, 2022",16.33,16.97,16.33,16.83,16.71,"16,823,500"
66,"Jan 03, 2022",15.89,16.24,15.89,16.14,16.02,"8,569,100"
67,"Dec 31, 2021",15.90,16.00,15.75,15.77,15.65,"4,315,900"
68,"Dec 30, 2021",16.02,16.18,15.86,15.89,15.77,"6,608,100"
69,"Dec 29, 2021",15.97,16.22,15.94,16.07,15.95,"5,867,300"
70,"Dec 28, 2021",15.90,16.05,15.85,15.97,15.85,"6,010,800"
71,"Dec 27, 2021",15.75,15.97,15.70,15.92,15.80,"4,456,300"
72,"Dec 23, 2021",15.63,15.88,15.57,15.76,15.64,"6,735,600"
73,"Dec 22, 2021",15.42,15.56,15.28,15.55,15.44,"6,693,800"
74,"Dec 21, 2021",14.98,15.43,14.98,15.42,15.31,"9,422,200"
75,"Dec 20, 2021",14.90,14.96,14.60,14.85,14.74,"11,378,300"
76,"Dec 17, 2021",14.96,15.15,14.80,15.08,14.97,"17,967,500"
77,"Dec 16, 2021",14.94,15.19,14.79,14.95,14.84,"11,932,500"
78,"Dec 15, 2021",14.64,14.82,14.50,14.79,14.68,"10,934,700"
79,"Dec 14, 2021",14.62,14.94,14.55,14.57,14.46,"13,978,400"
80,"Dec 13, 2021",15.17,15.23,14.61,14.79,14.68,"10,867,600"
81,"Dec 10, 2021",15.55,15.61,15.12,15.21,15.10,"9,774,300"
82,"Dec 09, 2021",15.42,15.52,15.30,15.38,15.27,"8,569,000"
83,"Dec 09, 2021",Dividend,,,,,
84,"Dec 08, 2021",15.55,15.80,15.47,15.58,15.35,"11,366,600"
85,"Dec 07, 2021",15.30,15.61,15.09,15.47,15.24,"14,903,100"
86,"Dec 06, 2021",15.36,15.54,15.10,15.12,14.89,"12,473,700"
87,"Dec 03, 2021",15.12,15.64,14.90,15.17,14.94,"19,438,800"
88,"Dec 02, 2021",14.29,15.11,14.22,14.99,14.77,"14,524,900"
89,"Dec 01, 2021",14.03,14.56,13.86,14.21,14.00,"22,221,700"
90,"Nov 30, 2021",14.58,14.64,14.11,14.35,14.14,"24,941,000"
91,"Nov 29, 2021",14.55,14.71,14.33,14.61,14.39,"12,343,500"
92,"Nov 26, 2021",14.44,14.54,14.23,14.43,14.21,"6,651,800"
93,"Nov 24, 2021",14.87,15.04,14.80,14.86,14.64,"10,158,300"
