,Date,Open,High,Low,Close,Adj Close,Volume
0,"Apr 06, 2022",23.91,24.12,23.74,23.97,23.97,"12,373,700"
1,"Apr 05, 2022",24.50,24.54,24.27,24.38,24.38,"6,293,000"
2,"Apr 04, 2022",24.56,24.74,24.54,24.74,24.74,"12,357,900"
3,"Apr 01, 2022",25.12,25.13,24.54,24.61,24.61,"14,712,000"
4,"Mar 31, 2022",24.97,25.21,24.89,24.89,24.89,"7,849,500"
5,"Mar 30, 2022",24.82,25.17,24.82,24.97,24.97,"6,945,500"
6,"Mar 29, 2022",24.91,25.12,24.81,25.11,25.11,"3,817,200"
7,"Mar 28, 2022",24.73,24.77,24.52,24.72,24.72,"2,834,400"
8,"Mar 25, 2022",24.60,24.75,24.51,24.73,24.73,"3,365,400"
9,"Mar 24, 2022",24.63,24.69,24.39,24.67,24.67,"3,594,400"
10,"Mar 23, 2022",24.35,24.65,24.28,24.31,24.31,"9,022,300"
11,"Mar 22, 2022",24.61,24.95,24.58,24.79,24.79,"5,367,300"
12,"Mar 21, 2022",24.40,24.56,24.07,24.21,24.21,"8,200,800"
13,"Mar 18, 2022",24.39,25.04,24.21,25.04,25.04,"29,035,600"
14,"Mar 17, 2022",24.81,25.05,24.46,24.49,24.49,"14,814,900"
15,"Mar 16, 2022",24.47,25.12,24.40,25.11,25.11,"12,327,300"
16,"Mar 15, 2022",24.16,24.31,23.59,24.19,24.19,"9,186,200"
17,"Mar 14, 2022",24.46,25.04,24.43,24.69,24.69,"13,945,300"
18,"Mar 11, 2022",24.19,24.29,23.95,24.01,24.01,"7,892,800"
19,"Mar 10, 2022",23.54,23.93,23.54,23.84,23.84,"7,789,000"
20,"Mar 09, 2022",23.75,24.15,23.54,23.90,23.90,"10,599,200"
21,"Mar 08, 2022",22.68,23.61,22.54,23.33,23.33,"20,426,800"
22,"Mar 07, 2022",22.28,22.58,22.19,22.58,22.58,"14,195,100"
23,"Mar 04, 2022",22.28,22.55,22.15,22.46,22.46,"13,424,500"
24,"Mar 03, 2022",22.85,22.94,22.43,22.52,22.52,"7,023,600"
25,"Mar 02, 2022",22.21,22.78,22.17,22.59,22.59,"8,749,500"
26,"Mar 01, 2022",22.39,22.50,22.04,22.16,22.16,"6,930,300"
27,"Feb 28, 2022",22.61,22.78,22.29,22.46,22.46,"6,965,700"
28,"Feb 25, 2022",22.24,22.87,22.24,22.84,22.84,"8,269,300"
29,"Feb 24, 2022",21.41,22.25,21.04,22.24,22.24,"21,155,100"
30,"Feb 23, 2022",23.03,23.24,22.66,22.72,22.72,"8,420,000"
31,"Feb 22, 2022",22.63,23.32,22.61,23.05,23.05,"17,268,300"
32,"Feb 18, 2022",22.53,22.75,22.31,22.51,22.51,"8,932,700"
33,"Feb 17, 2022",22.65,22.75,22.37,22.43,22.43,"8,470,200"
34,"Feb 16, 2022",22.52,22.85,22.49,22.84,22.84,"6,605,000"
35,"Feb 15, 2022",22.78,22.95,22.65,22.89,22.89,"9,976,200"
36,"Feb 14, 2022",22.00,22.26,21.89,22.19,22.19,"6,502,900"
37,"Feb 11, 2022",22.72,22.77,22.21,22.27,22.27,"7,761,500"
38,"Feb 10, 2022",23.05,23.27,22.87,22.94,22.94,"10,600,800"
39,"Feb 09, 2022",23.17,23.46,23.10,23.41,23.41,"7,472,800"
40,"Feb 08, 2022",22.46,22.97,22.37,22.89,22.89,"21,190,900"
41,"Feb 07, 2022",22.68,22.91,22.41,22.47,22.47,"15,889,900"
42,"Feb 04, 2022",22.97,23.21,22.66,22.89,22.89,"18,253,100"
43,"Feb 03, 2022",23.08,23.26,22.73,22.76,22.76,"12,135,000"
44,"Feb 02, 2022",23.73,23.85,23.60,23.77,23.77,"9,033,400"
45,"Feb 01, 2022",23.51,23.63,23.24,23.52,23.52,"10,309,700"
46,"Jan 31, 2022",23.07,23.61,23.02,23.57,23.57,"5,686,800"
47,"Jan 28, 2022",22.15,22.70,22.05,22.66,22.66,"15,420,200"
48,"Jan 27, 2022",22.26,22.38,21.72,21.81,21.81,"17,086,900"
49,"Jan 26, 2022",22.72,22.84,22.17,22.39,22.39,"11,662,800"
50,"Jan 25, 2022",22.66,22.85,22.42,22.48,22.48,"9,588,100"
51,"Jan 24, 2022",22.88,22.97,21.97,22.94,22.94,"18,128,000"
52,"Jan 21, 2022",23.44,23.77,23.36,23.41,23.41,"13,813,600"
53,"Jan 20, 2022",24.33,24.38,23.66,23.68,23.68,"19,417,500"
54,"Jan 19, 2022",24.98,25.05,24.45,24.47,24.47,"13,756,100"
55,"Jan 18, 2022",25.71,25.77,25.42,25.51,25.51,"6,915,000"
56,"Jan 14, 2022",25.72,26.29,25.58,26.20,26.20,"11,294,700"
57,"Jan 13, 2022",25.74,25.78,25.47,25.60,25.60,"20,147,500"
58,"Jan 12, 2022",26.15,26.39,25.51,25.75,25.75,"15,578,800"
59,"Jan 11, 2022",24.88,25.06,24.66,25.02,25.02,"9,883,900"
60,"Jan 10, 2022",24.66,24.78,24.43,24.77,24.77,"10,032,000"
61,"Jan 07, 2022",24.22,24.37,23.97,24.20,24.20,"6,596,500"
62,"Jan 06, 2022",24.20,24.49,23.97,24.11,24.11,"11,523,300"
63,"Jan 05, 2022",24.84,24.92,24.25,24.30,24.30,"8,881,400"
64,"Jan 04, 2022",25.25,25.37,24.98,25.11,25.11,"8,180,900"
65,"Jan 03, 2022",25.39,25.54,25.15,25.26,25.26,"4,526,700"
66,"Dec 31, 2021",25.53,25.56,25.31,25.31,25.31,"3,009,700"
67,"Dec 30, 2021",25.54,25.60,25.39,25.41,25.41,"2,293,900"
68,"Dec 29, 2021",25.19,25.38,25.14,25.38,25.38,"2,330,400"
69,"Dec 28, 2021",25.36,25.39,25.18,25.30,25.30,"3,405,800"
