,Date,Open,High,Low,Close,Adj Close,Volume
0,"Apr 06, 2022",47.44,48.17,47.24,47.54,47.54,"31,507,300"
1,"Apr 05, 2022",48.83,48.98,48.02,48.13,48.13,"25,779,200"
2,"Apr 04, 2022",48.17,49.23,47.92,49.20,49.20,"23,784,900"
3,"Apr 01, 2022",49.83,49.90,47.33,48.11,48.11,"46,586,100"
4,"Mar 31, 2022",51.20,51.26,49.51,49.56,49.56,"43,698,300"
5,"Mar 30, 2022",52.25,52.51,51.22,51.43,51.43,"24,623,300"
6,"Mar 29, 2022",52.00,52.29,51.28,52.25,52.25,"27,303,700"
7,"Mar 28, 2022",51.36,51.57,50.56,51.51,51.51,"22,932,400"
8,"Mar 25, 2022",50.69,51.98,50.45,51.83,51.83,"33,239,800"
9,"Mar 24, 2022",48.66,51.65,48.59,51.62,51.62,"51,677,900"
10,"Mar 23, 2022",48.46,49.58,48.06,48.27,48.27,"37,126,400"
11,"Mar 22, 2022",47.50,48.47,47.40,48.39,48.39,"27,923,300"
12,"Mar 21, 2022",47.46,47.89,47.07,47.39,47.39,"32,910,900"
13,"Mar 18, 2022",46.82,47.60,46.35,47.45,47.45,"46,166,300"
14,"Mar 17, 2022",46.32,47.29,45.73,47.14,47.14,"28,555,000"
15,"Mar 16, 2022",45.30,46.63,45.27,46.63,46.63,"38,885,500"
16,"Mar 15, 2022",44.50,44.90,44.07,44.81,44.81,"34,448,900"
17,"Mar 14, 2022",45.90,45.98,44.30,44.40,44.40,"35,993,900"
18,"Mar 11, 2022",47.15,47.28,45.77,45.83,45.83,"27,071,400"
19,"Mar 10, 2022",47.29,47.31,46.16,46.66,46.66,"36,456,000"
20,"Mar 09, 2022",48.41,48.46,46.89,47.63,47.63,"36,076,500"
21,"Mar 08, 2022",47.69,48.72,46.89,47.50,47.50,"44,813,900"
22,"Mar 07, 2022",48.01,48.54,47.60,47.68,47.68,"43,813,700"
23,"Mar 04, 2022",47.37,48.27,47.37,48.07,48.07,"38,310,700"
24,"Mar 03, 2022",48.18,48.55,47.62,47.93,47.93,"36,389,900"
25,"Mar 02, 2022",47.52,48.99,47.48,48.87,48.87,"46,936,500"
26,"Mar 01, 2022",47.54,47.90,46.22,46.82,46.82,"53,853,000"
27,"Feb 28, 2022",47.00,47.82,46.85,47.70,47.70,"41,920,000"
28,"Feb 25, 2022",46.93,47.79,46.25,47.71,47.71,"39,266,300"
29,"Feb 24, 2022",43.90,46.79,43.63,46.72,46.72,"72,740,100"
30,"Feb 23, 2022",45.17,45.71,44.55,44.65,44.65,"38,176,700"
31,"Feb 22, 2022",44.69,45.41,43.85,44.69,44.69,"57,093,300"
32,"Feb 18, 2022",46.19,46.21,44.51,45.04,45.04,"76,520,100"
33,"Feb 17, 2022",47.86,48.26,47.38,47.57,47.57,"32,030,600"
34,"Feb 16, 2022",48.06,48.49,47.60,48.23,48.23,"26,022,900"
35,"Feb 15, 2022",47.70,48.46,47.19,48.44,48.44,"35,837,900"
36,"Feb 14, 2022",47.92,48.18,47.11,47.58,47.58,"28,456,900"
37,"Feb 11, 2022",48.95,49.11,47.50,47.63,47.63,"37,208,200"
38,"Feb 10, 2022",49.18,49.93,48.76,48.86,48.86,"32,762,700"
39,"Feb 09, 2022",49.33,49.97,48.83,49.91,49.91,"35,217,300"
40,"Feb 08, 2022",47.98,48.94,47.90,48.81,48.81,"28,051,200"
41,"Feb 07, 2022",48.13,48.66,47.96,48.18,48.18,"27,558,500"
42,"Feb 04, 2022",47.86,48.24,47.13,48.01,48.01,"32,431,500"
43,"Feb 04, 2022",Dividend,,,,,
44,"Feb 03, 2022",49.25,49.69,48.25,48.28,47.91,"42,145,800"
45,"Feb 02, 2022",48.25,49.58,48.09,49.51,49.14,"37,962,700"
46,"Feb 01, 2022",48.78,49.03,48.36,48.95,48.58,"35,386,100"
47,"Jan 31, 2022",47.68,48.87,47.31,48.82,48.45,"51,828,400"
48,"Jan 28, 2022",47.71,48.20,46.30,47.73,47.37,"61,945,400"
49,"Jan 27, 2022",49.98,50.06,47.78,48.05,47.69,"89,642,800"
50,"Jan 26, 2022",51.13,52.72,50.75,51.69,51.30,"54,895,400"
51,"Jan 25, 2022",51.01,51.62,50.25,51.00,50.61,"44,095,400"
52,"Jan 24, 2022",51.48,52.13,49.88,51.94,51.55,"64,198,400"
53,"Jan 21, 2022",52.08,53.13,51.95,52.04,51.65,"46,372,400"
54,"Jan 20, 2022",53.86,54.09,51.94,52.04,51.65,"28,582,600"
55,"Jan 19, 2022",54.63,54.85,53.56,53.62,53.21,"30,595,100"
56,"Jan 18, 2022",55.31,55.65,54.68,54.76,54.35,"35,313,800"
57,"Jan 14, 2022",54.85,55.77,54.53,55.70,55.28,"30,151,500"
58,"Jan 13, 2022",56.00,56.21,54.77,54.94,54.52,"29,605,400"
59,"Jan 12, 2022",56.14,56.28,54.81,55.74,55.32,"29,136,800"
60,"Jan 11, 2022",55.50,56.08,54.73,55.91,55.49,"39,795,200"
61,"Jan 10, 2022",53.97,55.31,53.31,55.21,54.79,"49,260,800"
62,"Jan 07, 2022",54.19,54.39,53.15,53.44,53.04,"30,717,200"
63,"Jan 06, 2022",54.61,54.67,53.42,54.01,53.60,"35,757,900"
64,"Jan 05, 2022",54.19,56.17,53.83,53.87,53.46,"59,109,300"
65,"Jan 04, 2022",53.57,53.94,52.65,53.14,52.74,"45,681,400"
66,"Jan 03, 2022",51.65,53.23,51.60,53.21,52.81,"33,857,600"
67,"Dec 31, 2021",51.89,52.16,51.46,51.50,51.11,"16,319,000"
68,"Dec 30, 2021",51.92,52.14,51.65,51.74,51.35,"18,359,400"
69,"Dec 29, 2021",51.81,52.14,51.66,51.83,51.44,"14,174,800"
70,"Dec 28, 2021",51.93,52.12,51.63,51.76,51.37,"19,290,400"
71,"Dec 27, 2021",51.35,52.06,51.30,51.94,51.55,"20,985,400"
72,"Dec 23, 2021",51.08,51.73,51.05,51.31,50.92,"25,198,200"
73,"Dec 22, 2021",50.64,51.02,50.21,50.97,50.58,"23,307,900"
74,"Dec 21, 2021",49.94,50.84,49.94,50.77,50.39,"31,956,300"
75,"Dec 20, 2021",49.91,50.13,48.96,49.60,49.23,"30,140,300"
76,"Dec 17, 2021",50.59,51.02,50.01,50.62,50.24,"50,102,300"
77,"Dec 16, 2021",50.74,51.40,50.58,50.83,50.45,"33,132,300"
78,"Dec 15, 2021",49.87,50.78,49.33,50.67,50.29,"32,590,300"
79,"Dec 14, 2021",49.82,50.27,49.32,49.70,49.32,"34,120,400"
80,"Dec 13, 2021",50.85,51.02,49.95,50.00,49.62,"35,726,900"
81,"Dec 10, 2021",50.84,51.07,50.05,50.59,50.21,"23,783,600"
82,"Dec 09, 2021",51.30,51.59,50.43,50.48,50.10,"31,694,200"
83,"Dec 08, 2021",52.57,52.88,51.38,51.75,51.36,"37,143,400"
84,"Dec 07, 2021",54.66,55.00,52.21,52.57,52.17,"91,731,500"
85,"Dec 06, 2021",49.48,51.21,49.18,50.99,50.60,"40,336,000"
86,"Dec 03, 2021",49.68,50.06,48.76,49.25,48.88,"32,224,900"
87,"Dec 02, 2021",48.61,49.79,48.33,49.50,49.13,"37,240,800"
88,"Dec 01, 2021",49.84,50.31,48.52,48.60,48.23,"35,093,500"
89,"Nov 30, 2021",49.50,50.40,48.68,49.20,48.83,"49,460,800"
90,"Nov 29, 2021",49.30,50.13,48.72,50.00,49.62,"31,478,900"
91,"Nov 26, 2021",48.90,49.18,48.12,48.78,48.41,"25,269,000"
92,"Nov 24, 2021",48.86,49.78,48.63,49.76,49.38,"26,035,800"
93,"Nov 23, 2021",50.16,50.45,48.64,49.10,48.73,"44,713,300"
94,"Nov 22, 2021",49.55,50.85,49.41,49.83,49.45,"33,389,600"
95,"Nov 19, 2021",49.60,49.73,49.24,49.52,49.15,"27,607,600"
96,"Nov 18, 2021",50.24,50.24,48.97,49.68,49.30,"30,658,200"
97,"Nov 17, 2021",50.60,50.94,49.98,50.23,49.85,"23,546,900"
98,"Nov 16, 2021",50.37,51.15,50.34,50.61,50.23,"30,927,800"
99,"Nov 15, 2021",50.41,50.63,50.12,50.32,49.94,"24,695,800"
100,*Close price adjusted for splits.,<span>**Adjusted close price adjusted for splits and dividend and/or capital gain distributions.</span>,**Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,,,,
