,Date,Open,High,Low,Close,Adj Close,Volume
0,"Apr 07, 2022",258.00,262.20,255.80,256.90,256.90,"14,501,930"
1,"Apr 06, 2022",257.50,263.35,257.30,259.60,259.60,"19,597,941"
2,"Apr 05, 2022",256.05,261.85,255.10,259.45,259.45,"27,183,142"
3,"Apr 04, 2022",253.10,257.90,251.10,255.45,255.45,"15,907,398"
4,"Apr 01, 2022",250.00,255.35,248.80,253.30,253.30,"14,305,709"
5,"Mar 31, 2022",249.60,254.35,249.50,250.65,250.65,"25,656,796"
6,"Mar 30, 2022",255.10,256.40,248.65,249.20,249.20,"17,603,827"
7,"Mar 29, 2022",257.05,257.50,253.75,254.60,254.60,"18,122,714"
8,"Mar 28, 2022",254.00,258.00,252.55,257.05,257.05,"24,916,402"
9,"Mar 25, 2022",255.30,255.75,249.25,253.35,253.35,"29,284,643"
10,"Mar 24, 2022",251.95,256.50,251.45,254.85,254.85,"38,239,419"
11,"Mar 23, 2022",251.45,253.70,248.50,252.00,252.00,"40,491,633"
12,"Mar 22, 2022",244.55,250.75,243.55,249.75,249.75,"36,945,426"
13,"Mar 21, 2022",245.90,247.75,243.80,244.50,244.50,"27,975,134"
14,"Mar 17, 2022",245.25,245.40,242.70,244.90,244.90,"34,223,740"
15,"Mar 16, 2022",240.00,243.00,239.10,242.60,242.60,"21,629,521"
16,"Mar 15, 2022",239.00,241.40,235.90,237.85,237.85,"32,998,305"
17,"Mar 14, 2022",236.25,239.45,235.30,239.00,239.00,"35,113,638"
18,"Mar 11, 2022",231.90,237.10,230.15,236.35,236.35,"41,699,184"
19,"Mar 10, 2022",231.00,232.50,227.85,232.00,232.00,"36,132,245"
20,"Mar 09, 2022",227.70,231.40,226.10,229.25,229.25,"42,294,906"
21,"Mar 08, 2022",223.90,228.45,223.75,226.90,226.90,"36,036,336"
22,"Mar 07, 2022",222.00,227.00,220.10,224.95,224.95,"45,258,669"
23,"Mar 04, 2022",217.70,227.40,217.00,225.50,225.50,"66,835,736"
24,"Mar 03, 2022",216.05,220.20,216.00,219.40,219.40,"28,532,668"
25,"Mar 02, 2022",214.40,216.60,212.45,215.30,215.30,"19,295,994"
26,"Feb 28, 2022",213.20,216.45,210.80,215.85,215.85,"20,034,633"
27,"Feb 25, 2022",211.50,216.50,210.55,213.95,213.95,"23,633,656"
28,"Feb 24, 2022",210.00,213.30,207.00,208.50,208.50,"41,341,523"
29,"Feb 23, 2022",216.80,217.50,215.05,215.95,215.95,"11,014,283"
30,"Feb 22, 2022",215.00,216.90,213.00,214.85,214.85,"25,749,340"
31,"Feb 21, 2022",220.30,221.30,217.15,218.00,218.00,"16,129,017"
32,"Feb 18, 2022",222.65,223.45,221.50,221.90,221.90,"8,670,947"
33,"Feb 17, 2022",223.05,224.35,220.85,222.65,222.65,"14,024,149"
34,"Feb 16, 2022",223.80,224.70,221.85,222.75,222.75,"11,231,596"
35,"Feb 15, 2022",221.00,223.50,218.55,223.00,223.00,"12,875,311"
36,"Feb 14, 2022",226.00,226.00,218.50,219.45,219.45,"22,745,228"
37,"Feb 14, 2022",Dividend,,,,,
38,"Feb 11, 2022",232.00,233.30,229.80,232.45,227.20,"18,096,561"
39,"Feb 10, 2022",228.70,233.40,227.75,232.25,227.00,"19,563,580"
40,"Feb 09, 2022",232.30,233.00,228.75,230.15,224.95,"11,893,807"
41,"Feb 08, 2022",230.30,232.30,229.05,231.25,226.03,"16,201,280"
42,"Feb 07, 2022",234.00,234.75,228.50,230.20,225.00,"24,171,083"
43,"Feb 04, 2022",237.25,238.50,231.55,234.30,229.01,"56,705,951"
44,"Feb 03, 2022",232.15,235.20,231.80,234.45,229.15,"27,845,963"
45,"Feb 02, 2022",230.00,233.30,229.00,232.15,226.91,"41,130,638"
46,"Feb 01, 2022",221.00,228.80,219.15,227.75,222.61,"43,207,074"
47,"Jan 31, 2022",218.50,220.75,217.10,220.20,215.23,"15,039,006"
48,"Jan 28, 2022",215.10,219.25,215.10,217.60,212.69,"15,276,991"
49,"Jan 27, 2022",211.25,215.50,211.10,214.60,209.75,"23,149,684"
50,"Jan 25, 2022",212.00,214.70,209.55,214.30,209.46,"18,322,935"
51,"Jan 24, 2022",217.05,217.75,210.90,211.80,207.02,"17,354,942"
52,"Jan 21, 2022",218.50,220.50,216.00,217.05,212.15,"16,586,264"
53,"Jan 20, 2022",220.55,222.15,218.00,218.75,213.81,"17,329,896"
54,"Jan 19, 2022",220.75,222.40,218.70,220.35,215.37,"11,473,796"
55,"Jan 18, 2022",224.60,227.30,220.30,220.75,215.76,"14,394,097"
56,"Jan 17, 2022",222.60,225.60,221.35,224.60,219.53,"12,318,313"
57,"Jan 14, 2022",223.95,224.80,222.30,222.60,217.57,"10,569,725"
58,"Jan 13, 2022",223.90,225.80,222.75,223.95,218.89,"11,501,088"
59,"Jan 12, 2022",222.50,223.65,221.60,222.75,217.72,"13,158,894"
60,"Jan 11, 2022",223.35,224.25,221.20,221.95,216.94,"8,020,695"
61,"Jan 10, 2022",219.90,224.70,218.90,223.30,218.26,"15,841,299"
62,"Jan 07, 2022",219.80,220.65,217.50,218.40,213.47,"8,855,041"
63,"Jan 06, 2022",219.00,220.40,218.20,218.70,213.76,"8,950,589"
