,Date,Open,High,Low,Close,Adj Close,Volume
0,"Apr 06, 2022",21.86,21.86,21.19,21.33,21.33,"26,900"
1,"Apr 05, 2022",22.94,23.01,22.80,22.89,22.89,"28,000"
2,"Apr 04, 2022",23.51,23.51,22.96,23.14,23.14,"380,000"
3,"Apr 01, 2022",21.71,22.18,21.71,22.07,22.07,"111,700"
4,"Mar 31, 2022",21.63,21.66,21.32,21.37,21.37,"16,900"
5,"Mar 30, 2022",21.68,21.70,21.56,21.56,21.56,"12,200"
6,"Mar 29, 2022",22.62,22.62,21.69,21.81,21.81,"29,500"
7,"Mar 28, 2022",21.09,21.66,21.09,21.66,21.66,"78,900"
8,"Mar 25, 2022",21.60,21.60,21.32,21.38,21.38,"47,200"
9,"Mar 24, 2022",21.50,21.80,21.50,21.79,21.79,"16,100"
10,"Mar 23, 2022",21.15,21.39,21.14,21.25,21.25,"29,400"
11,"Mar 22, 2022",21.84,21.84,21.19,21.32,21.32,"87,900"
12,"Mar 21, 2022",20.91,21.00,20.79,21.00,21.00,"94,000"
13,"Mar 18, 2022",21.08,21.08,20.66,20.92,20.92,"77,900"
14,"Mar 17, 2022",20.46,20.54,20.27,20.52,20.52,"71,000"
15,"Mar 16, 2022",19.32,20.13,19.32,20.03,20.03,"80,500"
16,"Mar 15, 2022",19.03,19.16,18.40,19.13,19.13,"155,500"
17,"Mar 14, 2022",19.55,19.58,18.82,18.90,18.90,"43,500"
18,"Mar 11, 2022",19.93,19.93,19.52,19.52,19.52,"48,200"
19,"Mar 10, 2022",20.20,20.20,18.90,19.41,19.41,"37,000"
20,"Mar 09, 2022",20.17,20.18,18.90,19.56,19.56,"43,100"
21,"Mar 08, 2022",19.65,19.72,19.51,19.68,19.68,"76,800"
22,"Mar 07, 2022",20.20,20.20,19.58,19.62,19.62,"58,200"
23,"Mar 04, 2022",20.59,20.59,20.09,20.11,20.11,"58,300"
24,"Mar 03, 2022",21.69,21.81,21.39,21.53,21.53,"75,000"
25,"Mar 02, 2022",21.89,22.06,21.87,21.97,21.97,"78,700"
26,"Mar 01, 2022",22.22,22.25,22.00,22.10,22.10,"69,000"
27,"Feb 28, 2022",22.52,22.52,22.15,22.40,22.40,"45,300"
28,"Feb 25, 2022",22.50,22.55,22.41,22.55,22.55,"34,200"
29,"Feb 24, 2022",21.94,22.33,21.04,22.13,22.13,"146,800"
30,"Feb 23, 2022",23.05,23.05,22.33,22.35,22.35,"61,700"
31,"Feb 22, 2022",22.17,23.15,22.17,23.07,23.07,"75,400"
32,"Feb 18, 2022",22.35,22.87,22.06,22.84,22.84,"88,000"
33,"Feb 17, 2022",22.27,22.30,22.16,22.22,22.22,"14,300"
34,"Feb 16, 2022",21.39,22.34,21.39,22.30,22.30,"22,400"
35,"Feb 15, 2022",22.00,22.16,21.19,22.10,22.10,"25,500"
36,"Feb 14, 2022",22.58,22.58,22.05,22.18,22.18,"90,700"
37,"Feb 11, 2022",22.02,22.27,22.02,22.20,22.20,"25,200"
38,"Feb 10, 2022",21.79,22.70,21.79,22.59,22.59,"87,100"
39,"Feb 09, 2022",22.07,22.39,22.07,22.39,22.39,"33,000"
40,"Feb 08, 2022",20.96,21.80,20.96,21.80,21.80,"72,900"
41,"Feb 07, 2022",21.45,21.68,21.45,21.60,21.60,"42,700"
42,"Feb 04, 2022",21.97,22.41,21.97,22.38,22.38,"35,400"
43,"Feb 03, 2022",22.37,22.37,21.50,21.53,21.53,"44,300"
44,"Feb 02, 2022",21.67,21.97,21.67,21.79,21.79,"21,400"
45,"Feb 01, 2022",21.75,21.96,21.57,21.83,21.83,"61,700"
46,"Jan 31, 2022",20.82,21.91,20.82,21.80,21.80,"79,600"
47,"Jan 28, 2022",21.39,21.52,21.33,21.46,21.46,"24,500"
48,"Jan 27, 2022",21.04,21.77,21.04,21.59,21.59,"27,200"
49,"Jan 26, 2022",21.00,21.75,21.00,21.22,21.22,"40,800"
50,"Jan 25, 2022",20.84,21.52,20.68,21.47,21.47,"41,300"
51,"Jan 24, 2022",21.27,21.87,21.01,21.12,21.12,"106,100"
52,"Jan 21, 2022",21.77,22.79,21.30,21.81,21.81,"42,700"
53,"Jan 20, 2022",21.60,21.93,21.58,21.58,21.58,"72,100"
54,"Jan 19, 2022",22.74,22.83,22.60,22.60,22.60,"35,900"
55,"Jan 18, 2022",23.00,23.07,21.56,22.34,22.34,"45,200"
56,"Jan 14, 2022",23.50,23.50,23.10,23.20,23.20,"21,100"
57,"Jan 13, 2022",23.05,23.19,22.95,23.05,23.05,"14,000"
58,"Jan 12, 2022",23.50,23.50,22.83,23.05,23.05,"61,100"
59,"Jan 11, 2022",22.65,22.83,22.43,22.81,22.81,"110,200"
60,"Jan 10, 2022",22.90,23.51,22.85,23.03,23.03,"25,900"
61,"Jan 07, 2022",23.00,23.18,22.98,23.18,23.18,"12,700"
62,"Jan 06, 2022",22.18,23.05,22.18,22.89,22.89,"17,000"
63,"Jan 05, 2022",22.97,23.23,22.97,23.10,23.10,"102,700"
64,"Jan 04, 2022",22.83,23.01,22.79,22.90,22.90,"27,300"
65,"Jan 03, 2022",23.51,23.51,22.63,23.26,23.26,"46,400"
66,"Dec 31, 2021",22.87,23.16,22.85,22.98,22.98,"31,500"
67,"Dec 30, 2021",23.32,23.32,22.62,22.78,22.78,"39,600"
68,"Dec 29, 2021",23.51,23.51,22.82,22.90,22.90,"27,800"
69,"Dec 28, 2021",22.97,23.09,22.90,23.00,23.00,"26,500"
70,"Dec 27, 2021",23.16,23.16,22.85,23.00,23.00,"24,200"
71,"Dec 23, 2021",22.38,23.18,22.38,23.13,23.13,"30,400"
72,"Dec 22, 2021",22.87,23.37,22.86,23.33,23.33,"36,000"
73,"Dec 21, 2021",22.53,23.38,22.53,23.38,23.38,"74,900"
74,"Dec 20, 2021",22.25,22.40,21.59,21.89,21.89,"40,700"
75,"Dec 17, 2021",22.04,22.42,21.80,22.26,22.26,"57,500"
76,"Dec 16, 2021",21.99,22.07,21.81,21.86,21.86,"43,200"
77,"Dec 15, 2021",22.15,22.15,21.35,21.49,21.49,"35,300"
78,"Dec 14, 2021",22.04,22.04,21.36,21.54,21.54,"56,800"
79,"Dec 13, 2021",21.26,21.26,21.09,21.18,21.18,"25,100"
80,"Dec 10, 2021",21.20,21.90,21.20,21.90,21.90,"38,700"
81,"Dec 09, 2021",21.12,21.99,21.12,21.66,21.66,"62,300"
82,"Dec 08, 2021",21.68,22.10,21.67,21.90,21.90,"453,900"
83,"Dec 07, 2021",21.55,21.73,21.55,21.66,21.66,"47,700"
84,"Dec 06, 2021",21.21,21.39,21.17,21.32,21.32,"56,200"
85,"Dec 03, 2021",20.92,21.02,20.64,20.92,20.92,"49,500"
86,"Dec 02, 2021",20.72,20.72,20.25,20.25,20.25,"43,600"
87,"Dec 01, 2021",19.96,20.89,19.96,20.56,20.56,"110,600"
88,"Nov 30, 2021",20.43,20.51,20.15,20.30,20.30,"127,500"
89,"Nov 29, 2021",20.05,20.05,19.50,19.53,19.53,"34,500"
90,"Nov 26, 2021",20.36,20.36,19.01,19.50,19.50,"38,400"
91,"Nov 24, 2021",19.65,20.37,19.65,20.33,20.33,"60,600"
92,"Nov 24, 2021",Dividend,,,,,
93,"Nov 23, 2021",20.00,20.22,19.85,19.90,19.69,"39,600"
94,"Nov 22, 2021",20.82,20.82,19.54,20.38,20.17,"50,500"
95,"Nov 19, 2021",20.01,20.60,20.01,20.20,19.99,"53,200"
96,"Nov 18, 2021",20.50,20.53,20.32,20.34,20.13,"55,700"
97,"Nov 17, 2021",21.14,21.14,20.56,20.58,20.37,"46,000"
98,"Nov 16, 2021",21.16,21.21,21.14,21.20,20.98,"29,300"
99,"Nov 15, 2021",21.29,21.29,20.60,20.80,20.59,"34,200"
100,*Close price adjusted for splits.,<span>**Adjusted close price adjusted for splits and dividend and/or capital gain distributions.</span>,**Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,,,,
