,Date,Open,High,Low,Close,Adj Close,Volume
0,"Apr 06, 2022",374.15,376.47,362.73,368.35,368.35,"4,350,200"
1,"Apr 05, 2022",389.30,390.00,377.31,380.15,380.15,"4,234,500"
2,"Apr 04, 2022",373.55,396.02,373.13,391.50,391.50,"7,001,800"
3,"Apr 01, 2022",376.80,380.87,368.50,373.47,373.47,"4,639,800"
4,"Mar 31, 2022",383.59,384.00,373.61,374.59,374.59,"4,134,700"
5,"Mar 30, 2022",389.55,392.70,378.63,381.47,381.47,"4,023,300"
6,"Mar 29, 2022",384.39,396.50,380.33,391.82,391.82,"5,880,700"
7,"Mar 28, 2022",375.23,380.28,366.73,378.51,378.51,"4,323,400"
8,"Mar 25, 2022",377.07,377.64,366.43,373.85,373.85,"3,574,500"
9,"Mar 24, 2022",379.76,379.76,368.90,375.71,375.71,"3,888,500"
10,"Mar 23, 2022",379.77,382.46,374.49,374.49,374.49,"3,729,000"
11,"Mar 22, 2022",371.14,386.66,366.76,382.92,382.92,"4,242,800"
12,"Mar 21, 2022",378.02,381.82,368.94,374.59,374.59,"4,866,500"
13,"Mar 18, 2022",372.00,381.80,368.47,380.60,380.60,"8,309,200"
14,"Mar 17, 2022",359.70,373.31,354.88,371.40,371.40,"5,818,300"
15,"Mar 16, 2022",348.20,359.99,343.06,357.53,357.53,"6,982,500"
16,"Mar 15, 2022",335.10,345.36,332.36,343.75,343.75,"5,460,600"
17,"Mar 14, 2022",338.72,341.32,329.82,331.01,331.01,"5,907,800"
18,"Mar 11, 2022",361.19,363.36,340.00,340.32,340.32,"4,815,500"
19,"Mar 10, 2022",356.20,367.02,353.30,356.77,356.77,"4,807,800"
20,"Mar 09, 2022",357.69,364.14,350.51,358.79,358.79,"6,520,200"
21,"Mar 08, 2022",349.80,358.86,340.67,341.76,341.76,"6,428,700"
22,"Mar 07, 2022",360.41,362.00,350.20,350.26,350.26,"5,708,400"
23,"Mar 04, 2022",368.00,374.82,357.17,361.73,361.73,"5,325,500"
24,"Mar 03, 2022",386.00,386.12,364.65,368.07,368.07,"6,076,800"
25,"Mar 02, 2022",388.93,389.22,375.21,380.03,380.03,"5,356,800"
26,"Mar 01, 2022",391.60,395.00,383.71,386.24,386.24,"3,290,400"
27,"Feb 28, 2022",387.33,397.75,382.13,394.52,394.52,"5,030,600"
28,"Feb 25, 2022",386.61,391.29,375.58,390.80,390.80,"4,841,600"
29,"Feb 24, 2022",355.09,390.73,354.72,390.03,390.03,"7,068,700"
30,"Feb 23, 2022",382.72,386.00,366.66,367.46,367.46,"4,614,300"
31,"Feb 22, 2022",388.95,392.42,373.02,377.38,377.38,"6,697,500"
32,"Feb 18, 2022",392.53,402.87,389.05,391.29,391.29,"6,801,700"
33,"Feb 17, 2022",394.24,399.11,385.70,386.67,386.67,"4,669,200"
34,"Feb 16, 2022",401.53,401.56,390.38,398.08,398.08,"5,277,700"
35,"Feb 15, 2022",403.79,409.16,401.01,407.46,407.46,"5,392,300"
36,"Feb 14, 2022",387.59,409.36,386.89,396.57,396.57,"7,202,200"
37,"Feb 11, 2022",405.33,411.61,387.65,391.31,391.31,"7,558,900"
38,"Feb 10, 2022",402.10,408.00,396.36,406.27,406.27,"8,452,900"
39,"Feb 09, 2022",408.65,412.98,398.79,412.89,412.89,"7,738,200"
40,"Feb 08, 2022",398.18,406.61,395.83,403.53,403.53,"6,818,500"
41,"Feb 07, 2022",410.17,412.35,393.55,402.10,402.10,"8,232,900"
42,"Feb 04, 2022",407.31,412.77,396.64,410.17,410.17,"7,789,800"
43,"Feb 03, 2022",421.44,429.26,404.28,405.60,405.60,"9,905,200"
44,"Feb 02, 2022",448.25,451.98,426.48,429.48,429.48,"14,346,000"
45,"Feb 01, 2022",432.96,458.48,425.54,457.13,457.13,"22,568,100"
46,"Jan 31, 2022",401.97,427.70,398.20,427.14,427.14,"20,047,500"
47,"Jan 28, 2022",386.76,387.00,372.08,384.36,384.36,"11,966,600"
48,"Jan 27, 2022",382.06,394.80,378.10,386.70,386.70,"24,324,700"
49,"Jan 26, 2022",378.27,382.66,356.62,359.70,359.70,"12,684,000"
50,"Jan 25, 2022",379.14,387.71,365.13,366.42,366.42,"15,145,800"
51,"Jan 24, 2022",383.91,387.26,351.46,387.15,387.15,"32,346,000"
52,"Jan 21, 2022",400.43,409.15,379.99,397.50,397.50,"58,904,300"
53,"Jan 20, 2022",517.75,526.64,506.93,508.25,508.25,"12,659,000"
54,"Jan 19, 2022",515.00,523.21,510.51,515.86,515.86,"4,353,500"
55,"Jan 18, 2022",520.08,521.75,508.68,510.80,510.80,"4,839,100"
56,"Jan 14, 2022",517.60,538.37,511.88,525.69,525.69,"7,861,100"
57,"Jan 13, 2022",537.06,540.79,518.26,519.20,519.20,"4,475,100"
58,"Jan 12, 2022",544.27,544.27,532.02,537.22,537.22,"3,787,400"
59,"Jan 11, 2022",536.99,543.91,530.07,540.84,540.84,"3,077,800"
60,"Jan 10, 2022",538.49,543.69,526.32,539.85,539.85,"4,486,100"
61,"Jan 07, 2022",549.46,553.43,538.22,541.06,541.06,"3,382,900"
62,"Jan 06, 2022",554.34,563.36,542.01,553.29,553.29,"5,711,800"
63,"Jan 05, 2022",592.00,592.84,566.88,567.52,567.52,"4,148,700"
64,"Jan 04, 2022",599.91,600.41,581.60,591.15,591.15,"4,393,100"
65,"Jan 03, 2022",605.61,609.99,590.56,597.37,597.37,"3,067,500"
66,"Dec 31, 2021",610.01,614.08,602.05,602.44,602.44,"1,995,900"
67,"Dec 30, 2021",612.99,620.61,611.24,612.09,612.09,"1,625,100"
68,"Dec 29, 2021",610.71,613.98,604.68,610.54,610.54,"1,287,200"
69,"Dec 28, 2021",614.95,618.41,609.69,610.71,610.71,"1,882,800"
70,"Dec 27, 2021",615.00,615.00,609.25,613.12,613.12,"2,061,500"
71,"Dec 23, 2021",616.40,616.88,607.57,614.09,614.09,"1,621,100"
72,"Dec 22, 2021",603.36,614.82,602.63,614.24,614.24,"2,335,700"
73,"Dec 21, 2021",597.54,607.82,593.86,604.92,604.92,"2,319,400"
74,"Dec 20, 2021",586.43,602.88,584.26,593.74,593.74,"3,358,400"
75,"Dec 17, 2021",591.61,593.25,581.74,586.73,586.73,"4,386,900"
76,"Dec 16, 2021",597.09,602.83,588.00,591.06,591.06,"3,143,200"
77,"Dec 15, 2021",598.18,605.69,584.51,605.04,605.04,"2,866,200"
78,"Dec 14, 2021",598.71,602.29,588.13,597.99,597.99,"2,984,500"
79,"Dec 13, 2021",612.00,612.64,599.52,604.56,604.56,"2,517,900"
80,"Dec 10, 2021",616.78,617.74,605.88,611.66,611.66,"2,748,800"
81,"Dec 09, 2021",627.58,630.24,610.44,611.00,611.00,"2,376,300"
82,"Dec 08, 2021",630.00,632.46,623.20,628.08,628.08,"2,220,300"
83,"Dec 07, 2021",619.83,628.89,611.40,625.58,625.58,"3,125,200"
84,"Dec 06, 2021",606.01,617.29,601.00,612.69,612.69,"3,075,700"
85,"Dec 03, 2021",622.75,625.50,594.00,602.13,602.13,"4,829,300"
86,"Dec 02, 2021",617.10,625.36,612.88,616.47,616.47,"3,331,100"
87,"Dec 01, 2021",649.48,654.52,617.07,617.77,617.77,"3,882,800"
