,Date,Open,High,Low,Close,Adj Close,Volume
0,"Apr 07, 2022",510.05,519.90,510.05,513.75,513.75,"18,327,763"
1,"Apr 06, 2022",507.00,515.20,506.00,513.95,513.95,"13,738,275"
2,"Apr 05, 2022",514.40,516.40,507.70,509.40,509.40,"13,602,384"
3,"Apr 04, 2022",509.30,514.90,506.00,512.40,512.40,"16,257,176"
4,"Apr 01, 2022",491.00,509.75,491.00,508.20,508.20,"18,527,226"
5,"Mar 31, 2022",494.30,497.55,492.20,493.55,493.55,"10,240,982"
6,"Mar 30, 2022",499.30,500.40,492.30,494.30,494.30,"16,461,225"
7,"Mar 29, 2022",500.00,501.40,491.70,495.00,495.00,"14,301,429"
8,"Mar 28, 2022",490.95,498.60,481.95,497.50,497.50,"16,738,684"
9,"Mar 25, 2022",491.75,493.30,486.60,490.70,490.70,"11,541,196"
10,"Mar 24, 2022",485.00,494.80,483.50,487.10,487.10,"18,174,877"
11,"Mar 23, 2022",498.50,502.40,489.20,490.65,490.65,"15,800,195"
12,"Mar 22, 2022",490.60,495.80,477.25,493.70,493.70,"26,157,969"
13,"Mar 21, 2022",502.00,502.00,489.00,490.60,490.60,"19,064,060"
14,"Mar 17, 2022",499.00,503.50,498.30,501.90,501.90,"22,947,673"
15,"Mar 16, 2022",493.00,494.30,489.40,492.75,492.75,"16,211,288"
16,"Mar 15, 2022",489.00,490.50,480.65,485.85,485.85,"27,204,899"
17,"Mar 14, 2022",471.00,486.00,470.55,485.15,485.15,"27,750,689"
18,"Mar 11, 2022",466.40,474.80,462.00,470.35,470.35,"22,091,309"
19,"Mar 10, 2022",469.90,476.65,461.65,468.70,468.70,"34,553,299"
20,"Mar 09, 2022",442.00,454.30,438.55,451.70,451.70,"32,331,325"
21,"Mar 08, 2022",438.00,442.10,425.00,440.30,440.30,"42,510,207"
22,"Mar 07, 2022",447.50,453.95,433.45,440.30,440.30,"33,720,472"
23,"Mar 04, 2022",460.30,470.90,457.65,461.95,461.95,"20,684,268"
24,"Mar 03, 2022",480.00,483.40,464.60,467.40,467.40,"20,358,590"
25,"Mar 02, 2022",478.00,479.80,467.00,474.25,474.25,"22,003,848"
26,"Feb 28, 2022",476.90,485.30,473.10,483.20,483.20,"18,069,367"
27,"Feb 25, 2022",480.00,491.90,479.30,482.95,482.95,"21,792,287"
28,"Feb 24, 2022",480.00,487.95,468.00,472.65,472.65,"32,356,037"
29,"Feb 23, 2022",503.00,505.35,497.25,498.70,498.70,"13,899,433"
30,"Feb 22, 2022",500.90,505.30,495.50,498.40,498.40,"27,108,772"
31,"Feb 21, 2022",511.55,517.50,504.65,511.85,511.85,"16,866,932"
32,"Feb 18, 2022",510.10,520.90,510.10,515.30,515.30,"15,111,223"
33,"Feb 17, 2022",520.00,520.00,511.15,512.95,512.95,"16,408,356"
34,"Feb 16, 2022",526.50,528.00,514.00,516.70,516.70,"19,773,807"
35,"Feb 15, 2022",502.00,526.85,497.10,524.80,524.80,"23,842,951"
36,"Feb 14, 2022",515.00,515.60,499.70,501.40,501.40,"26,153,332"
37,"Feb 11, 2022",536.25,537.70,527.10,529.60,529.60,"14,607,095"
38,"Feb 10, 2022",537.10,543.95,534.40,540.55,540.55,"18,659,370"
39,"Feb 09, 2022",534.95,536.50,527.75,535.25,535.25,"14,856,155"
40,"Feb 08, 2022",535.50,537.65,519.00,531.35,531.35,"26,567,546"
41,"Feb 07, 2022",531.90,549.00,525.25,533.25,533.25,"52,289,545"
42,"Feb 04, 2022",542.15,546.40,527.30,530.30,530.30,"25,332,894"
43,"Feb 03, 2022",537.15,544.70,537.15,540.10,540.10,"22,717,677"
44,"Feb 02, 2022",536.65,544.25,531.35,539.80,539.80,"21,661,864"
45,"Feb 01, 2022",543.95,543.95,520.00,532.30,532.30,"32,245,356"
46,"Jan 31, 2022",529.00,540.90,527.05,538.30,538.30,"28,674,232"
47,"Jan 28, 2022",534.00,536.40,521.40,523.45,523.45,"24,715,250"
48,"Jan 27, 2022",503.55,530.85,503.20,528.95,528.95,"35,409,230"
49,"Jan 25, 2022",490.00,517.50,489.00,514.65,514.65,"21,791,739"
50,"Jan 24, 2022",502.40,506.80,488.00,494.15,494.15,"20,233,933"
51,"Jan 21, 2022",505.30,507.50,498.00,502.70,502.70,"16,947,941"
52,"Jan 20, 2022",516.00,519.15,508.00,511.40,511.40,"17,724,642"
53,"Jan 19, 2022",505.00,517.65,500.30,515.80,515.80,"16,079,457"
54,"Jan 18, 2022",514.00,517.45,505.00,506.80,506.80,"12,592,506"
55,"Jan 17, 2022",508.00,518.90,507.55,514.00,514.00,"17,422,211"
56,"Jan 14, 2022",509.00,510.35,505.15,508.35,508.35,"8,724,574"
57,"Jan 13, 2022",510.00,512.85,507.00,511.35,511.35,"10,450,974"
58,"Jan 12, 2022",509.90,513.50,508.50,510.25,510.25,"14,489,616"
59,"Jan 11, 2022",503.00,507.80,499.25,505.95,505.95,"16,107,950"
60,"Jan 10, 2022",493.35,504.95,492.50,503.65,503.65,"15,832,274"
61,"Jan 07, 2022",493.45,501.95,489.45,491.25,491.25,"22,746,330"
62,"Jan 06, 2022",487.70,494.40,485.40,491.70,491.70,"18,190,843"
