,Date,Open,High,Low,Close,Adj Close,Volume
0,"Apr 06, 2022",8.05,8.11,7.90,8.07,8.07,"399,000"
1,"Apr 05, 2022",8.38,8.45,8.12,8.21,8.21,"285,700"
2,"Apr 04, 2022",8.12,8.39,8.10,8.31,8.31,"408,200"
3,"Apr 01, 2022",8.19,8.33,8.09,8.12,8.12,"430,700"
4,"Mar 31, 2022",8.21,8.23,7.92,8.17,8.17,"643,400"
5,"Mar 30, 2022",8.62,8.64,8.15,8.18,8.18,"618,700"
6,"Mar 29, 2022",8.50,8.93,8.50,8.67,8.67,"722,300"
7,"Mar 28, 2022",8.12,8.44,8.03,8.42,8.42,"664,000"
8,"Mar 25, 2022",8.16,8.26,8.05,8.09,8.09,"387,500"
9,"Mar 24, 2022",8.21,8.24,8.08,8.16,8.16,"291,200"
10,"Mar 23, 2022",8.25,8.42,8.11,8.17,8.17,"319,900"
11,"Mar 22, 2022",8.28,8.39,8.18,8.34,8.34,"582,900"
12,"Mar 21, 2022",8.55,8.55,8.15,8.23,8.23,"346,400"
13,"Mar 18, 2022",8.47,8.72,8.40,8.59,8.59,"607,100"
14,"Mar 17, 2022",8.28,8.56,8.24,8.55,8.55,"458,800"
15,"Mar 16, 2022",8.06,8.38,8.00,8.30,8.30,"572,600"
16,"Mar 15, 2022",7.86,8.05,7.82,7.99,7.99,"381,900"
17,"Mar 14, 2022",8.04,8.04,7.73,7.83,7.83,"426,900"
18,"Mar 11, 2022",8.43,8.48,7.92,7.93,7.93,"483,200"
19,"Mar 10, 2022",8.48,8.65,8.35,8.41,8.41,"652,000"
20,"Mar 09, 2022",8.46,8.79,8.34,8.61,8.61,"563,900"
21,"Mar 08, 2022",7.97,8.37,7.95,8.25,8.25,"1,039,000"
22,"Mar 07, 2022",8.37,8.37,7.97,7.99,7.99,"503,100"
23,"Mar 04, 2022",8.72,8.74,8.22,8.35,8.35,"297,700"
24,"Mar 03, 2022",8.68,8.91,8.61,8.72,8.72,"761,900"
25,"Mar 02, 2022",8.67,8.72,8.49,8.59,8.59,"731,700"
26,"Mar 01, 2022",8.71,8.88,8.55,8.64,8.64,"528,800"
27,"Feb 28, 2022",8.34,8.83,8.34,8.83,8.83,"460,700"
28,"Feb 25, 2022",8.21,8.41,8.19,8.37,8.37,"407,900"
29,"Feb 24, 2022",7.87,8.34,7.82,8.32,8.32,"714,800"
30,"Feb 23, 2022",8.28,8.43,8.01,8.08,8.08,"526,000"
31,"Feb 22, 2022",8.46,8.64,8.19,8.23,8.23,"640,700"
32,"Feb 18, 2022",8.79,8.92,8.51,8.56,8.56,"679,800"
33,"Feb 17, 2022",9.04,9.13,8.82,8.90,8.90,"454,800"
34,"Feb 16, 2022",9.10,9.31,8.93,9.08,9.08,"838,600"
35,"Feb 15, 2022",8.85,9.03,8.61,9.03,9.03,"1,211,500"
36,"Feb 14, 2022",8.58,8.99,8.58,8.78,8.78,"1,151,900"
37,"Feb 11, 2022",8.47,8.77,8.42,8.63,8.63,"2,065,700"
38,"Feb 10, 2022",8.02,8.38,7.96,8.05,8.05,"1,757,400"
39,"Feb 09, 2022",8.20,8.72,7.80,8.13,8.13,"6,846,200"
40,"Feb 08, 2022",9.96,10.64,9.93,10.53,10.53,"1,117,400"
41,"Feb 07, 2022",9.98,10.24,9.91,9.94,9.94,"672,500"
42,"Feb 04, 2022",9.56,10.01,9.44,9.93,9.93,"714,400"
43,"Feb 03, 2022",9.81,9.89,9.55,9.63,9.63,"468,100"
44,"Feb 02, 2022",10.11,10.35,9.84,10.01,10.01,"574,200"
45,"Feb 01, 2022",10.14,10.24,9.89,10.18,10.18,"436,100"
46,"Jan 31, 2022",9.74,10.20,9.64,10.20,10.20,"467,500"
47,"Jan 28, 2022",9.72,9.83,9.34,9.82,9.82,"547,600"
48,"Jan 27, 2022",10.13,10.24,9.66,9.78,9.78,"432,100"
49,"Jan 26, 2022",10.75,10.77,9.96,9.97,9.97,"729,300"
50,"Jan 25, 2022",10.26,10.75,10.17,10.57,10.57,"546,300"
51,"Jan 24, 2022",9.52,10.49,9.44,10.43,10.43,"771,400"
52,"Jan 21, 2022",10.06,10.13,9.73,9.79,9.79,"670,600"
53,"Jan 20, 2022",10.45,10.75,10.15,10.17,10.17,"700,900"
54,"Jan 19, 2022",10.20,10.47,10.17,10.35,10.35,"360,800"
55,"Jan 18, 2022",10.45,10.50,10.17,10.17,10.17,"376,000"
56,"Jan 14, 2022",10.50,10.75,10.29,10.60,10.60,"476,000"
57,"Jan 13, 2022",10.80,11.00,10.70,10.72,10.72,"353,300"
58,"Jan 12, 2022",11.04,11.10,10.74,10.76,10.76,"402,100"
59,"Jan 11, 2022",11.00,11.09,10.74,11.00,11.00,"637,800"
60,"Jan 10, 2022",11.07,11.08,10.77,10.86,10.86,"756,100"
61,"Jan 07, 2022",11.30,11.55,11.09,11.20,11.20,"515,700"
62,"Jan 06, 2022",11.26,11.58,11.02,11.35,11.35,"633,500"
63,"Jan 05, 2022",11.49,11.49,10.92,10.99,10.99,"944,100"
64,"Jan 04, 2022",11.21,11.53,11.15,11.46,11.46,"987,400"
65,"Jan 03, 2022",10.18,11.31,10.14,11.21,11.21,"1,712,700"
