,Date,Open,High,Low,Close,Adj Close,Volume
0,"Apr 06, 2022",29.51,29.82,29.37,29.65,29.65,"1,256,000"
1,"Apr 05, 2022",30.00,30.33,29.34,29.51,29.51,"1,106,200"
2,"Apr 04, 2022",29.53,29.74,29.41,29.69,29.69,"440,700"
3,"Apr 01, 2022",28.68,29.23,28.63,29.22,29.22,"710,300"
4,"Mar 31, 2022",28.17,28.34,27.95,27.95,27.95,"1,051,700"
5,"Mar 30, 2022",28.69,28.78,28.03,28.25,28.25,"868,000"
6,"Mar 29, 2022",28.99,29.59,28.99,29.15,29.15,"1,183,500"
7,"Mar 28, 2022",28.44,28.70,28.27,28.54,28.54,"329,900"
8,"Mar 25, 2022",28.33,28.41,28.00,28.40,28.40,"505,700"
9,"Mar 24, 2022",28.33,28.65,28.17,28.58,28.58,"685,600"
10,"Mar 23, 2022",28.05,28.57,28.05,28.15,28.15,"608,500"
11,"Mar 22, 2022",28.77,29.16,28.53,28.61,28.61,"1,333,200"
12,"Mar 21, 2022",27.78,27.89,27.52,27.82,27.82,"416,100"
13,"Mar 18, 2022",28.00,28.60,27.88,28.59,28.59,"641,300"
14,"Mar 17, 2022",28.01,28.33,27.71,28.08,28.08,"2,882,900"
15,"Mar 16, 2022",27.83,28.46,27.50,28.46,28.46,"996,100"
16,"Mar 15, 2022",26.47,27.77,26.47,27.60,27.60,"1,279,000"
17,"Mar 14, 2022",26.36,26.70,25.47,25.77,25.77,"2,369,000"
18,"Mar 11, 2022",27.62,27.64,26.12,26.20,26.20,"2,301,600"
19,"Mar 10, 2022",26.43,26.86,25.91,26.12,26.12,"1,970,600"
20,"Mar 09, 2022",26.54,26.91,26.14,26.64,26.64,"1,818,900"
21,"Mar 08, 2022",25.00,25.68,24.50,24.90,24.90,"2,025,500"
22,"Mar 07, 2022",25.56,25.84,24.60,24.75,24.75,"1,424,000"
23,"Mar 04, 2022",26.24,26.65,25.72,26.33,26.33,"3,457,300"
24,"Mar 03, 2022",28.94,29.27,27.88,28.08,28.08,"900,100"
25,"Mar 02, 2022",28.99,29.98,28.99,29.89,29.89,"989,600"
26,"Mar 01, 2022",29.94,30.12,28.59,28.80,28.80,"975,500"
27,"Feb 28, 2022",30.06,30.57,29.95,30.29,30.29,"527,000"
28,"Feb 25, 2022",30.30,31.00,30.27,30.80,30.80,"1,540,000"
29,"Feb 24, 2022",27.99,29.38,27.52,29.36,29.36,"1,422,900"
30,"Feb 23, 2022",31.78,32.20,30.87,31.03,31.03,"898,500"
31,"Feb 22, 2022",31.74,32.13,31.06,31.55,31.55,"999,800"
32,"Feb 18, 2022",32.82,33.01,32.58,32.67,32.67,"553,800"
33,"Feb 17, 2022",33.07,33.22,32.88,32.97,32.97,"732,700"
34,"Feb 16, 2022",32.81,33.29,32.81,33.05,33.05,"715,900"
35,"Feb 15, 2022",33.05,33.35,32.95,33.20,33.20,"925,800"
36,"Feb 14, 2022",31.15,31.25,30.57,31.11,31.11,"847,400"
37,"Feb 11, 2022",32.96,33.18,31.95,32.20,32.20,"2,510,900"
38,"Feb 10, 2022",33.50,33.88,33.28,33.36,33.36,"695,800"
39,"Feb 09, 2022",33.41,34.50,33.35,34.03,34.03,"1,438,900"
40,"Feb 08, 2022",32.71,33.03,32.44,32.99,32.99,"586,400"
41,"Feb 07, 2022",32.78,33.06,32.54,32.80,32.80,"707,600"
42,"Feb 04, 2022",32.64,33.25,32.64,33.10,33.10,"691,400"
43,"Feb 03, 2022",33.00,33.70,32.94,33.11,33.11,"827,300"
44,"Feb 02, 2022",33.47,33.83,33.41,33.66,33.66,"600,200"
45,"Feb 01, 2022",33.33,33.57,32.87,33.40,33.40,"607,500"
46,"Jan 31, 2022",33.14,33.97,32.56,33.76,33.76,"1,937,300"
47,"Jan 28, 2022",32.70,32.83,32.18,32.77,32.77,"971,900"
48,"Jan 27, 2022",32.59,32.99,32.41,32.70,32.70,"1,360,000"
49,"Jan 26, 2022",32.20,32.39,31.40,31.75,31.75,"781,500"
50,"Jan 25, 2022",32.00,32.50,31.87,31.90,31.90,"1,592,300"
51,"Jan 24, 2022",31.13,31.53,30.25,31.51,31.51,"1,233,600"
52,"Jan 21, 2022",33.22,33.47,32.40,32.62,32.62,"1,221,800"
53,"Jan 20, 2022",34.00,34.90,33.96,34.03,34.03,"1,154,000"
54,"Jan 19, 2022",34.67,35.08,34.27,34.30,34.30,"2,496,600"
55,"Jan 18, 2022",33.89,34.33,33.72,33.78,33.78,"756,000"
56,"Jan 14, 2022",33.77,34.52,33.72,34.50,34.50,"876,100"
57,"Jan 13, 2022",34.47,34.65,33.86,34.00,34.00,"739,800"
58,"Jan 12, 2022",34.36,34.70,34.19,34.32,34.32,"609,900"
59,"Jan 11, 2022",33.64,34.18,33.45,34.13,34.13,"561,200"
60,"Jan 10, 2022",33.38,33.88,33.33,33.63,33.63,"1,077,300"
61,"Jan 07, 2022",32.81,32.92,32.37,32.88,32.88,"598,000"
62,"Jan 06, 2022",32.50,33.06,32.37,32.85,32.85,"943,900"
63,"Jan 05, 2022",32.39,32.72,31.81,31.95,31.95,"969,500"
64,"Jan 04, 2022",32.77,33.00,32.14,32.23,32.23,"1,456,300"
65,"Jan 03, 2022",33.28,33.60,32.95,33.48,33.48,"1,470,600"
66,"Dec 31, 2021",32.18,32.37,32.05,32.09,32.09,"508,400"
67,"Dec 30, 2021",31.53,31.66,31.31,31.33,31.33,"481,700"
68,"Dec 29, 2021",31.60,31.66,31.45,31.55,31.55,"346,900"
69,"Dec 28, 2021",32.08,32.08,31.60,31.72,31.72,"2,110,400"
70,"Dec 27, 2021",31.19,31.79,31.16,31.78,31.78,"678,100"
71,"Dec 23, 2021",31.16,31.42,31.10,31.21,31.21,"480,300"
72,"Dec 22, 2021",30.93,31.52,30.89,31.50,31.50,"404,900"
73,"Dec 21, 2021",29.88,30.43,29.88,30.38,30.38,"686,400"
74,"Dec 20, 2021",29.24,29.57,28.87,29.47,29.47,"1,214,400"
75,"Dec 17, 2021",30.16,30.77,30.03,30.31,30.31,"1,178,100"
76,"Dec 16, 2021",32.18,32.30,31.55,31.63,31.63,"856,400"
77,"Dec 15, 2021",31.94,32.18,31.30,32.15,32.15,"1,219,400"
78,"Dec 14, 2021",31.71,31.97,31.41,31.69,31.69,"1,928,500"
79,"Dec 13, 2021",32.24,32.46,31.69,31.95,31.95,"694,300"
80,"Dec 10, 2021",32.62,32.81,32.37,32.75,32.75,"474,500"
81,"Dec 09, 2021",32.49,32.61,32.09,32.14,32.14,"904,100"
