,Date,Open,High,Low,Close,Adj Close,Volume
0,"Apr 07, 2022",592.00,592.00,577.50,580.80,580.80,"7,264,951"
1,"Apr 06, 2022",598.00,598.00,591.00,593.55,593.55,"4,117,951"
2,"Apr 05, 2022",605.45,609.50,598.05,599.15,599.15,"6,431,244"
3,"Apr 05, 2022",Dividend,,,,,
4,"Apr 04, 2022",605.00,606.50,599.00,605.60,600.60,"4,427,974"
5,"Apr 01, 2022",591.70,603.40,589.30,601.80,596.83,"4,283,997"
6,"Mar 31, 2022",600.00,603.30,590.20,591.90,587.01,"7,238,089"
7,"Mar 30, 2022",605.10,609.30,599.50,600.80,595.84,"7,744,382"
8,"Mar 29, 2022",603.00,605.35,599.15,602.50,597.53,"4,701,003"
9,"Mar 28, 2022",608.00,609.00,597.10,600.20,595.24,"5,738,405"
10,"Mar 25, 2022",611.00,614.00,597.25,603.35,598.37,"5,993,097"
11,"Mar 24, 2022",607.00,613.80,605.80,610.55,605.51,"3,875,745"
12,"Mar 23, 2022",613.95,615.00,607.70,611.20,606.15,"5,696,918"
13,"Mar 22, 2022",603.40,611.00,596.15,610.05,605.01,"7,790,250"
14,"Mar 21, 2022",605.10,616.00,598.00,600.00,595.05,"7,796,476"
15,"Mar 17, 2022",605.00,611.00,599.00,601.20,596.24,"8,440,645"
16,"Mar 16, 2022",595.25,599.45,592.50,598.25,593.31,"5,575,148"
17,"Mar 15, 2022",603.70,603.70,584.30,587.70,582.85,"6,926,622"
18,"Mar 14, 2022",586.40,600.80,586.00,598.15,593.21,"7,503,221"
19,"Mar 11, 2022",587.00,590.00,582.40,586.20,581.36,"4,963,594"
20,"Mar 10, 2022",595.00,596.50,584.60,588.25,583.39,"8,080,983"
21,"Mar 09, 2022",588.00,596.40,582.15,585.50,580.67,"11,763,616"
22,"Mar 08, 2022",572.00,590.75,572.00,587.45,582.60,"11,019,999"
23,"Mar 07, 2022",563.00,579.65,562.25,571.85,567.13,"10,556,167"
24,"Mar 04, 2022",561.00,580.00,554.05,575.30,570.55,"13,474,186"
25,"Mar 03, 2022",563.00,575.95,560.35,569.55,564.85,"12,955,663"
26,"Mar 02, 2022",555.00,558.30,550.40,555.20,550.62,"8,177,055"
